Português,Inglês
Monstros.,Monsters.
Eu não vou a lugar nenhum.,I'm not going anywhere.
"Sou, sim.",Yes I am.
Collins.,Collins.
Até já.,Until now.
Mas você disse...,But you said ...
Qual é o nome?,What is the name?
Já tentei.,Already tried.
Não sabe de nada.,You don't know anything.
Uma festa?,A party?
"Eu, uh...","Me, uh ..."
É muita gentileza sua.,It's very kind of yours.
Comam.,Eat.
Ou algo assim.,Or something like this.
eu...,I...
Me poupe.,Save me.
Vamos lutar.,Let's fight.
Filha da mãe!,Mother's daughter!
Não foi o que eu disse.,That's not what I said.
Do outro lado.,On the other side.
Boyd.,Boyd.
Ele não está bem.,He's not well.
Siga-o.,Follow him.
Klaus.,Klaus.
Sabe onde está?,Do you know where it is?
Que emocionante.,What exciting.
Hmmm.,Hmmm.
Ha ha ha!,Haha ha!
"Me ajude, por favor!",Help me please!
"Eu sei, certo?","I know, right?"
Nunca disse isso.,I never said that.
Data.,Date.
Está cometendo um erro.,It's making a mistake.
Katniss.,Katniss.
Marta!,Marta!
Para onde foram?,Where did you go?
Relaxar?,To relax?
Ellis.,Ellis.
Ela gosta de você.,She likes you.
Eu estou bem aqui.,I'm fine here.
Vou pegá-lo.,I will take it.
Vai fundo.,Go deep.
"Como vai, senhor?","How are you, sir?"
É nosso.,It is ours.
Você tem a minha palavra.,You have my word.
Isto é impossível.,This is impossible.
"Mexam-se, mexam-se!","They move, move!"
Libby.,Libby.
Não terminei.,I didn't end.
Todo mundo sabe disso.,Everybody knows it.
Isso é um sim?,Is that a yes?
Nós tentamos.,We try.
Que bom que está aqui.,Glad it's here.
Inaceitável.,Unacceptable.
Pare de dizer isso.,Stop saying that.
"Desculpe, mãe.","Sorry, mom."
Está muito bem.,It's very well.
Experimenta.,Experience.
Pode me dar licença?,Can you leave me?
Falta pouco.,There is little left.
Sem pulso.,Without pulse.
Um monstro.,A monster.
Mesma coisa.,Same thing.
Ele era meu amigo.,He was my friend.
Spike!,Spike!
Foi um prazer conhecê-lo.,It was a pleasure to meet you.
Isso não acabou.,This is not over.
Está queimando!,It's burning!
Sozinhos.,Alone.
Eu adoro isso.,I love it.
O que será?,What will it be?
Faremos isso.,We will do that.
Deixe-me fazer isso.,Let me do that.
Mas então...,But then ...
Já peguei.,Already caught.
E o outro?,And the other?
Ela chegou.,She arrived.
"Olá, Jack.","Hello, Jack."
Eles conseguiram.,They did it.
Para que é isso?,What is that for?
Apenas respire.,Just Breathe.
Foi boa.,It was good.
Dunham.,Dunham.
O que está querendo dizer?,What do you want to say?
Eu ia...,I went...
Dança?,Dance?
Está me seguindo?,He is following me?
Leve.,Light.
Prossigam.,Continue.
Uma carta.,A letter.
É o seu pai.,And your father.
Enquanto isso...,About that...
Eu não tenho idéia.,I have no idea.
Puta que o pariu!,Puta who gave birth to him!
Não olhe para trás.,Do not look back.
Você já era.,You're done.
Estou com saudades.,I am feeling homesick.
Doris.,Doris.
Agora você sabe.,Now you know.
Prisão?,Prison?
Heroína.,Heroin.
Conte-me tudo.,Tell me everything.
Deixe-os ir.,Let them go.
Ele está brincando.,He's kidding.
Vamos brincar.,Let's play.
"Ok, certo.","Ok, right."
Não me conhece.,Do not know me.
Toma essa!,Take that!
Milhões.,Millions.
TV NUNCA MAIS!,TV never again!
Você não tem ideia.,You have no idea.
Não vou desistir.,Will not give up.
Ele está comigo.,He's with me.
Eu gostaria disso.,I would like this.
"Merda, merda, merda!","Shit, shit, shit!"
Lindsay.,Lindsay.
Seu merdinha!,Your little shit!
Deixem-me!,Leave me!
Confira.,Check out.
Animal!,Animal!
Desculpas.,Sorry.
Ohhh!,Ohhh!
Entendo isso.,I understand that.
Você achou?,You found?
Não é culpa dele.,It's not his fault.
Agora é a sua vez.,Now it is your turn.
Essa noite.,Tonight.
Não foi fácil.,It was not easy.
Por que está dizendo isso?,Why are you saying this?
"Olha, olha.",Look look.
Precisamos dele.,We need him.
Agora você.,Now you.
O que sabemos?,What do we know?
Preciso de um médico.,I need a doctor.
Todos no chão!,All on the floor!
Esse é o cara.,That's the guy.
"Oh, porra.","Oh, fucking."
"Desculpa, cara.","Sorry, man."
Inspire.,Inhale.
Estou tentando ajudar.,I'm trying to help.
Alguém morreu?,Did someone die?
Aí estão eles.,There they are.
Donald!,Donald!
Quase pronto.,Almost ready.
"Bem, talvez.","Well, maybe."
Deixe sua mensagem.,Leave your message.
Você é um assassino.,You are a killer.
Por isso estamos aqui.,That's why we are here.
"Eu, eu...",Me me...
"Bem, boa noite.","Well, good night."
Já fiz.,I have done.
Você ouviu o que eu disse?,Did you hear what I said?
Tem mesmo.,It really has.
Cheira bem.,Smells good.
Não há nada lá.,There is nothing there.
Isso é muito importante.,This is very important.
Ta bom.,It's OK.
Eu... eu...,Me me...
Queijo.,Cheese.
Roman.,Roman.
Ele não faria isso.,He wouldn't do that.
Quer que eu vá com você?,Do you want me to go with you?
Sabes?,Do you know?
Essa é a minha garota.,This is my girl.
10 segundos.,10 seconds.
Não estou falando com você.,I'm not talking with you.
Barnes.,Barnes.
Como está sua mãe?,How is your mother?
Não pense.,Do not think.
Parem de atirar!,Stop shooting!
Alguns dias.,A few days.
"Foi, sim.","It was, yes."
Ligue-me.,Call me.
Encontramos.,We found.
Juliet!,Juliet!
Está quente aqui.,It's hot here.
"Sim, o quê?",Yes what?
Esse é...,This is...
Estava lá.,It was there.
Kira.,Kira.
Não estou interessada.,I am not interested.
"Vamos, mãe.","Come on, mother."
Ouça com atenção.,Listen carefully.
Ele esteve aqui.,He was here.
Por que está fazendo isso comigo?,Why are you doing this to me?
Reggie!,Reggie!
O quê é?,What is it?
Se você...,If you...
Jared.,Jared.
Vamos rápido.,Go fast.
Que porra está fazendo?,What fuck is doing?
Callie.,Callie.
O que isso tem a ver comigo?,What does this have to do with me?
Pegamos.,We took it.
Pare aí mesmo!,Stop there!
Mona!,Mona!
Deixe-me sozinho.,Leave me alone.
Temos que continuar.,We have to continue.
"É bom, não é?","It's good, isn't it?"
Foi isso que aconteceu.,That was what happened.
Em lugar nenhum.,Nowhere.
Ela vai voltar.,She will be back.
Jan!,Jan!
Vou subir.,I will go up.
Elise.,Elise.
"Tá bom, tá bom.","Okay, okay."
Sinto mesmo.,I really feel.
"Ei, o que está acontecendo?","Hey, what's going on?"
O que é que tem?,What's the matter?
Eu não sabia o que fazer.,I did not know what to do.
Você gosta dela?,Do you like her?
NO PRÓXIMO EPISÓDIO,In the next episode
Cynthia.,Cynthia.
Ele está de volta.,He's back.
Essas coisas acontecem.,That things happen.
Estou muito cansado.,I'm too tired.
Eu não sei nada.,I do not know anything.
E para você?,And to you?
Está confortável?,Is it comfortable?
Como você pôde?,How can you?
Recarregar!,Recharge!
"Vamos lá, rapazes.","Come on, boys."
Você foi bem.,You went well.
Isso explica tudo.,It explains everything.
Onde está o papai?,Where is daddy?
Como vai indo?,How is it going?
Isso seria bom.,That would be good.
Não me pergunte.,Do not ask me.
"Bem, senhor.","Well, sir."
Tudo bem para você?,Okay for you?
Não foi o que quis dizer.,That's not what I meant.
Muito Obrigado.,Thank you very much.
Não lembra?,Do not remember?
Dez mil.,Ten thousand.
Então faça.,So do it.
Você chegou.,You came.
Silas.,Silas.
Entraremos em contato.,We will be in touch.
Vai morrer!,Gonna die!
Acredito que não.,I do not think so.
Fico feliz por você.,I'm happy for you.
Aguardando.,Waiting.
Termine.,End.
Você sabe o que isso significa?,Do you know what that means?
Quase isso.,Almost that.
E você sabe?,And you know?
Você quer dizer...,You mean...
"Então, qual é o plano?",So what is the plan?
IvanHalen |,Ivanhalen |
Sua família?,Your family?
Brett!,Brett!
WTFSubs,Wtfsubs
"Por favor, pai.",Please father.
Onde é que ele está?,where is he?
Que porcaria!,What a crap!
"Venham, venham.","Come on, come."
"Obrigado, rapazes.","Thank you, boys."
Você gostaria?,Would you like?
Percebo.,I realize.
Texas.,Texas.
bem.,good.
Um assassino.,A killer.
Ama?,Love?
"Claro, sim.",Of course.
Menos.,Any less.
Seja homem.,Be a man.
Na cama.,In bed.
Você teve sorte.,You had luck.
Você é um herói.,You are a hero.
Que gentileza.,How kind.
"Ei, olhe.","Hey, look."
Abra essa porta!,Open this door!
Sente muito?,Feels a lot?
"Vamos, então.",Let's go then.
Você faz.,You do.
Não consigo evitar.,I can not avoid.
Se abaixe!,Be lowers!
Como ela morreu?,How she died?
Você está exagerando.,You are exaggerating.
Chef!,Chef!
Dê-me um segundo.,Give me a second.
Não vou conseguir.,I will not make it.
Viu alguma coisa?,Did you see something?
Isso não é meu.,This is not mine.
Você sabe muito bem.,You know very well.
Não tenha tanta certeza.,Not so sure.
Não faria isso.,I wouldn't do that.
"Vamos, Jack.","Come on, Jack."
Uma palavra.,A word.
Eu vi isso.,I saw it.
Quinta-feira.,Thursday.
Vamos todos morrer.,We will all die.
Quer sair daqui?,Want to get out of here?
Dezoito.,Eighteen.
"Vamos, temos que ir.","Come on, we have to go."
Dê-me um minuto.,Give me a minute.
Você é um amor.,You're sweet.
Você tentou.,You tried.
A luz.,The light.
Terminado.,Finished.
Tragam-no.,Bring it.
Estou calmo.,I'm calm.
Depois disso...,After that...
Você é legal.,You're cool.
"Obrigado, papai.",Thanks dad.
Eu tenho um.,I have one.
Rusty!,Rusty!
"Sim, vai.",Yes go.
Não será fácil.,It will not be easy.
Touchdown!,Touchdown!
O que significa isto?,What does it means?
Não foi um acidente.,It was not an accident.
Agüente.,Stand.
O que tem para mim?,What do you have for me?
Deixa-me ver.,Let me see.
É minha mãe.,And my mother.
Tudo mudou.,Everything has changed.
Burt!,Burt!
É por ali.,It is there.
A culpa não é sua.,It is not your fault.
Mas sabe de uma coisa?,"But, you know what?"
Foi perfeito.,It was perfect.
Dory!,Dory!
Fantasmas.,Ghosts.
Estou indo agora.,I'm leaving now.
Estaremos lá.,We'll be there.
"Sim, posso.",Yes! I can.
"Obrigada, doutor.","Thank you, doctor."
Não me provoque.,Do not tease me.
Maddie.,Maddie.
Quer ouvir?,Do you want to listen?
Matty.,Matty.
"Vamos, por aqui.",Let's go here.
Não me culpe.,Do not blame me.
Então quem foi?,So who was it?
Preciso ir para casa.,I need to go home.
Pense um pouco.,Think a little.
Não fiz.,Did not.
Não pode ir.,Can not go.
Silencio!,Silence!
Eu liguei.,I called.
É preciso.,It's needed.
Gail.,Gail.
Não estou me sentindo bem.,I'm not feeling well.
Vá embora daqui.,Go away from here.
"Oi, Joe.",Hi Joe.
Shirley.,Shirley.
Isso foi demais.,That was too much.
Você não tem que fazer isso.,You don't have to do that.
O outro.,The other.
Ainda não decidi.,I did not decide yet.
Magia.,Magic.
Como posso saber?,How can I know?
Sortudo.,Lucky you.
É uma promessa.,It's a promise.
Que trabalho?,What work?
Ele é casado.,He is married.
"Não, escute.",Do not listen.
Por que ainda está aqui?,Why are you still here?
"Olhe, olhe.","Look, look."
Porque eu te amo.,Because I love you.
Tire-a.,Take it out.
É mais do que isso.,It is more than that.
Não está entendendo.,You don't understand.
Quer brincar?,Wants to play?
"Não, não temos.","No, we don't have."
Nem a pau.,No way.
Está de volta.,Is back.
Gostoso.,Tasty.
Está de sacanagem?,Are you slutty?
Podemos tentar.,We can try.
Mau.,Bad.
O que você quer que eu diga?,What do you want me to say?
boa noite.,goodnight.
Tenho uma idéia melhor.,I have a better idea.
Onde ele está indo?,Where is he going?
Que tal agora?,How about now?
"Olá, senhora.",Hello lady.
Estou de saída.,I'm leaving.
É uma festa.,It's a party.
20 segundos.,20 seconds.
"Meu Deus, meu Deus.",My God my God.
Qual foi?,What's up?
Por que disse isso?,Why did you say that?
É muito ruim.,Is very bad.
Ela desapareceu.,She disappeared.
"Hey, hey, hey.","Hey, Hey, Hey."
"Ei, olha.","Hey, look."
Leve-me.,Take me.
Deixe-me ver suas mãos.,Let me see your hands.
Fique com isso.,Stay with it.
"Oh, nada.","Oh, nothing."
Ela ainda está viva.,She is still alive.
"Por favor, saia.","Please, leave."
Nunca pensei nisso.,I never thought about it.
Trouxe.,He brought.
"Obrigado, filho.",Thanks son.
Ele é inocente.,He is innocent.
Já falei.,I already told you.
Mantenha a calma.,Keep Calm.
Já terminei.,I finished.
Que conveniente.,How convenient.
Que estás a fazer?,What are you doing?
Tenha um ótimo dia.,Have a great day.
Não pense nisso.,Do not think about it.
E ação!,And action!
Isso vai ser divertido.,This will be fun.
20 anos.,20 years.
Estava te procurando.,I was looking for you.
Então qual é o problema?,So what's the problem?
Sente isso?,Do you feel that?
Parece interessante.,Seems interesting.
Isso não pode acontecer.,This can not happen.
Olhe lá.,Look there.
"Vamos, venha.","Come on, come."
"Ah, vamos.","Ah, let's go."
Livros.,Books.
Sabes que mais?,Do you know more?
Faça o que tem que fazer.,Do what you have to do.
Judith.,Judith.
Terminamos aqui.,We ended here.
Kat.,Kat.
Você está me assustando.,You are scarring me.
Você vê isso?,Do you see this?
Você me odeia?,You hate me?
Fique atento.,Stay tuned.
Câmera.,Camera.
Quem você acha?,Who do you think?
Eu não tenho medo.,I'm not afraid.
Estou muito cansada.,I am very tired.
Ela me ama.,She loves Me.
"Sim, e você?",Yes and you?
Estamos sob ataque.,We are under attack.
Oi pessoal.,Hey guys.
Não tema.,Do not fear.
Copiado.,Copied.
Não sei mesmo.,I really do not know.
Confiei em você.,I trusted you.
Ela estava...,She was...
Estou de olho em você.,I'm watching you.
"Por favor, mãe.",Please mother.
Fique bem.,Take care.
Fazer o que?,Do what?
Tem que ir.,You have to go.
Eu te levo.,I'll take you.
Fotos.,Photos.
Case comigo.,Marry me.
Que babaca.,What a jerk.
Não sei mais o que fazer.,I do not know what else to do.
Não estão.,They are not.
Eu sei de tudo.,I know everything.
Sabe o que é isto?,Do you know what this is?
Me larguem!,Let me go!
Desculpe incomodar.,Sorry to bother.
O que o traz aqui?,What brings you here?
Isso é difícil.,This is hard.
Preciso pensar.,I need to think.
Mais alguma pergunta?,Any more questions?
Você não se importa?,You do not care?
Me tirem daqui!,Take me from here!
Onde está minha filha?,Where is my daughter?
Ele não vai voltar.,He won't come back.
Preciso fazer xixi.,I need to pee.
É exatamente isso.,That's exactly that.
Você não é assim.,You are not like that.
Qual é a emergência?,What is the emergency?
Já voltamos.,We have already come back.
"Sim, minha senhora.","Yes, my lady."
Quer calar a boca?,Want to shut up?
Do que tem medo?,What are you afraid?
Daryl!,Daryl!
"Sim, tudo.",Yes everything.
"Obrigada, pessoal.",Thank you people.
Foi uma loucura.,It was crazy.
Não era eu.,It was not me.
Joanna.,Joanna.
Kai.,Kai.
Estou farto.,I'm full.
Eu sou um idiota.,I'm an idiot.
Que tal assim?,How about that?
Ele precisa de ajuda.,He need help.
Aonde foi?,Where did you go?
Que história?,What history?
"********* ADRIANO PEDROSO ********** ""DIGA NÃO À CENSURA!","********* Adriano Pedroso ********** ""Say no to censorship!"
Encontrei algo.,I found something.
Sobre você.,About you.
Vocês também.,You too.
Que merda está fazendo?,What shit are you doing?
Só estou perguntando.,I'm just asking.
Estou enlouquecendo.,I'm freaking out.
Lester.,Lester.
Art Subs - 8 anos fazendo Arte para você!,ART SUB - 8 YEARS MAKING ART FOR YOU!
Milady.,Milady.
Lembra-se disso?,Do you remember that?
Me dê o telefone.,Give me the phone.
Desligue o telefone.,Hang up the phone.
Não perguntei.,I did not ask.
Morris.,Morris.
"Certo, claro.","Right, of course."
A postos.,To posts.
Um café.,One coffee.
Ela é maravilhosa.,She's wonderful.
Está tudo errado.,It's all wrong.
Eu sei como é.,I know how it is.
Não o vi.,I didn't see him.
EU...,I...
"Olá, amor.",Hello my love.
Deus os abençoe.,God bless them.
Reid.,Reid.
"Boa noite, Srta.","Good night, Miss."
Que doce.,How sweet.
Sabrina.,Sabrina.
Deixe-me falar com ela.,Let me talk to her.
Está horrível.,It's horrible.
Salve-se.,Save yourself.
Espera um momento.,Wait a moment.
Como você quiser.,As you wish.
Se liga.,Get on.
Está me matando.,Its killing me.
Otto!,Otto!
Foi um presente.,It was a gift.
É bem legal.,It's pretty cool.
"Sim, vamos lá.","Yes, let's go."
Homem ferido!,Wounded man!
Tenho um compromisso.,I have an appointment.
Está tudo em ordem.,It's all in order.
Não seja assim.,Don't be so.
O que vocês fizeram?,What did you do?
Rodando.,Running.
O que há com ela?,What's up with her?
"Obrigado, Sr.","Thank you, Mr."
No mínimo.,At least.
Faça isso agora.,Do it now.
"Certo, estou indo.","Okay, I'm going."
Dê-me as chaves.,Give me the keys.
De que lado você está?,Which side are you on?
Eles não sabem.,They do not know.
Vamos fazer o seguinte.,Let's do this.
Ela está ali.,She is there.
o.,O.
Perry!,Perry!
"Sim, conheço.",Yes I know.
Que está dizendo?,What are you saying?
É o destino.,It is fate.
Quem está aqui?,Who's here?
Já lhe disse.,I've already told you.
Você não confia em mim?,You do not trust me?
Ela me odeia.,She hates me.
"Sim, Meritíssimo.","Yes, very merit."
Tive.,I had.
Ninguém é perfeito.,Nobody is perfect.
"Por favor, não me deixe.",Please do not leave me.
"Vamos, amor.","Come on, love."
Canadá.,Canada.
Trish.,TRISH.
Você tem que...,You have to...
Tem uma caneta?,Do you have a pen?
Também estou.,Me too.
"Querida, você está bem?","Honey, are you okay?"
Ignore-o.,Ignore him.
A vida.,Life.
O que aconteceu comigo?,What happened with me?
E depois disso?,And after this?
"Vamos, meninas.",Let's go girls.
Primeira vez?,First time?
Espere e verá.,Wait and see.
Que quer?,What you want?
Tenho que falar com você.,I have to talk to you.
Você vai me ajudar?,Will you help me?
"Sim, sargento.","Yes, sergeant."
Gil.,Gil.
"Obrigado, Sr. Presidente.","Thank you, Mr. President."
BR,Br
Não vi.,I did not see.
Aidan!,Aidan!
Eu não quis...,I did not want to...
Tradução e Sincronia @Marocas62,Translation and synchrony @marocas62
JJ!,JJ!
Minha mulher.,My wife.
Semana passada.,Last week.
Eu não faço isso.,I do not do this.
E por que isso?,And why is that?
Allie.,Allie.
Saco!,Bag!
Está bonita.,You are pretty.
Acidente?,Accident?
Está na escuta?,Are you in listening?
Nikita.,Nikita.
Ollie!,Ollie!
É necessário.,Is required.
Parece justo.,Seems fair.
Isso não prova nada.,It proves nothing.
Ainda está vivo.,It's still alive.
"Ok, bom.",OK good.
Eu trabalho aqui.,I work here.
"Então, e agora?","So, now what?"
Eu parei.,I stopped.
Deve haver algum engano.,There must be a mistake.
Está sentindo?,Are you feeling?
Eu devia saber.,I should know.
Escute bem.,Listen well.
Não vai a lugar nenhum.,It is not going anywhere.
Desculpe a demora.,Apologies for the delay.
Cheryl?,Cheryl?
Isto não é bom.,This is not good.
É uma...,Is...
De onde ele veio?,Where he came from?
Já fez isso antes?,Have you done that before?
Agora é minha vez.,"Now, it's my turn."
Mas onde?,But where?
Quero sair daqui.,I want to get out of here.
É muito tempo.,Is a long time.
Detalhes.,Details.
Você só pode estar brincando.,You have got to be kidding.
Não foi minha intenção.,I did not mean that.
Vamos parar.,Let's stop.
"Por favor, fique.",Please stay.
"Olá, crianças.",Hello kids.
Eu a encontrei.,I found her.
"Sim, estamos bem.",Yes we are well.
Sabe onde ela está?,Do you know where she is?
Quantos anos ela tem?,How old is she?
Ele é um assassino.,He is a killer.
Está tudo ótimo.,It's all great.
Estamos seguros.,We are safe.
você está bem?,are you well?
Afaste-se dele!,Take away from him!
Qualé!,What it is!
Desgraçada!,Breakdown!
Eu quero ajudar.,I want to help.
Não vai acreditar.,It won't believe it.
O que são essas coisas?,What are those things?
Você está morta.,You are dead.
Você parece...,You look...
Gavin.,Gavin.
Quase nada.,Almost anything.
Nem tudo.,Not everything.
Lançar!,To throw!
Isso não é importante.,This is not important.
Sobre o que você está falando?,What are you talking about?
Não há saída.,There is no way out.
Não se engane.,Do not fool yourself.
Solte isso.,Release it.
Eu fugi.,I ran away.
Bata nele!,Hit him!
Você foi incrível.,You were amazing.
Nós te amamos.,We love you.
Vai ficar?,Will stay?
Ela está lá.,She is there.
Por que veio?,Why did you come?
Isso é novo.,This is new.
Que bom que você veio.,Glad you came.
O que veio fazer aqui?,What did you do here?
Não devia estar aqui.,It shouldn't be here.
Eu deveria ir.,I should go.
Nós precisamos conversar.,We need to talk.
Pegue o dinheiro.,Take the money.
Marina!,Marina!
Eu vou lá.,I go there.
Mas não agora.,But not now.
É assim que é.,This is how it is.
E eu sinto muito.,And I'm sorry.
Ele a matou.,He killed her.
Então por que está aqui?,So why are you here?
Por que eu deveria?,Why should I?
Xena...,Xena ...
Fica aí.,Stay there.
Você está acabado.,You are over.
Pode fazer o que quiser.,You can do whatever you want.
"Olá, meninas.",Hello girls.
Mãos atrás da cabeça.,Hands behind the head.
Sentimos sua falta.,We missed you.
Não há tempo a perder.,There is no time to lose.
É fascinante.,It is fascinating.
Não vou dizer nada.,I wont say anything.
É hoje.,Is today.
Wall-E!,Wall-E!
Não foi isso que eu quis dizer.,That's not what I meant.
Fisher.,Fisher.
Eu posso sentir.,I can feel.
Passa.,Raisin.
"Muito bem, rapazes.","Very well, boys."
"Oh, pelo amor de Deus.","Oh, for the sake of God."
Alguém pode me ouvir?,Can anyone hear me?
Tem a certeza?,Are you sure?
Retiro o que disse.,I take that back.
Estamos sem tempo.,We are out of time.
O que farei?,What will I do?
Está escuro.,It's dark.
É assim que vai ser.,This is how it will be.
Abra seus olhos.,Open your eyes.
Não é minha.,Is not mine.
Não sei o que está acontecendo.,I do not know what is happening.
Professora.,Teacher.
Não posso ajudar.,I can not help.
Como você se atreve?,How dare you?
"Parabéns, cara.",Congratulations man.
A VERDADE ESTÁ LÁ FORA,The truth is out there
Não fuja.,Do not run away.
É muito grande.,It's very big.
O que nós vamos fazer?,What are we going to do?
Está bem assim?,It's fine like this?
Por que você se importa?,Why do you care?
Endereço?,Address?
Galera!,Crowd!
Você é um anjo.,You are an angel.
Ela é adorável.,She is adorable.
"Ah, não, não.","Oh no, no."
"Sim, Sr. Presidente.","Yes, Mr. President."
Filme!,Film!
Sou eu de novo.,It's me again.
Me acompanhe.,Follow me.
E esse?,It's that?
Vai à merda!,Go to shit!
É um problema.,It's a problem.
E a sua mãe?,Is your mother?
Não consegue.,Can not.
"Oi, Mike.","Hi, Mike."
Eleanor.,Eleanor.
Você me prometeu.,You promised me.
Onde ela foi?,Where she went?
Urgente.,Urgent.
Sawyer.,Sawyer.
Não sei nada.,I know nothing.
Por que ele fez isso?,Why did he do it?
Esta é minha casa.,This is my house.
Não consigo te ouvir.,I can not hear you.
Eu abro.,I open.
UM ANO DEPOIS,ONE YEAR LATER
Dá o fora!,Get out!
Você não é meu pai.,You are not my father.
Dora!,Dora!
Você está legal?,Are you cool?
O que houve com ela?,What happened to her?
O meu pai.,My father.
Sem.,Without.
Você é doido.,You are crazy.
Não discuta.,Do not argue.
Continue respirando.,Continue breathing.
"Sim, mais ou menos.","Yes, more or less."
Não me reconhece?,Don't you recognize me?
Muito em breve.,Very soon.
Au revoir.,Au Revoir.
"Parem, parem!","Stop, stop!"
No quarto.,In the bedroom.
Meia-noite.,Midnight.
Deus me livre.,God forbid.
Vai acontecer.,Will happen.
Por que a demora?,Why the delay?
Jade!,Jade!
Não sou como você.,I'm not like you.
O que acha que é?,What do you think is?
Como sabia disso?,How did you know that?
Perdeu a cabeça?,Did you lose your head?
Pense a respeito.,Think about.
Preciso falar com ela.,I need to talk to her.
"Está brincando, não é?","It's kidding, isn't it?"
Foi um prazer conhecê-la.,It was a pleasure to meet you.
Não tem nada a ver com você.,It has nothing to do with you.
"Não, me desculpe.",No I'm sorry.
É meu pai.,And my dad.
Para quem está ligando?,Who is calling?
E não.,And not.
Eu sei que é.,I know it is.
Já ouvi isso antes.,I've heard it before.
Suficiente.,Enough.
Xeque.,Check.
Se não se importa.,If you do not mind.
Talvez amanhã.,Maybe tomorrow.
O dia todo.,All day.
Vou buscar.,I'll get it.
"Vamos, acorde.","Come on, wake up."
Dex.,Dex.
Três horas.,Three hours.
Muito fácil.,Very easy.
Você já?,Have you ever?
Que diabos está havendo?,What the hell is there?
Sabe do que mais?,Do you know what more?
Mas quem?,But who?
Seu mentiroso!,You liar!
Criança.,Child.
Está carregada.,It is loaded.
Obrigada pela ajuda.,Thank you for your help.
Temos que ir embora.,We have to leave.
Não sei quem é.,I do not know who it is.
"Não, não vi.","No, I didn't see."
Rafael.,Rafael.
É apenas...,Only...
Sem armas.,Without weapons.
Nós não podemos.,We can not.
"Não, quero dizer...",I dont 'want to say...
Três semanas.,Three weeks.
Vai começar.,Will start.
Gosto dela.,I like her.
Você sabe que sim.,You know yes.
"Sério, cara.","Seriously, man."
Você está dentro.,You are in.
Você a encontrou?,Did you find her?
Não sei o que houve.,I do not know what happened.
Por nós.,For us.
Monk,Monk
Onde diabos você estava?,Where the hell were you?
Eu me enganei.,I was wrong.
Tequila.,Tequila.
"Não, Sam.","No, Sam."
Tarzan!,Tarzan!
Gostei muito.,I really liked.
"Vamos, andem!","Come on, go!"
Eu não poderia.,I could not.
Não não não.,No no no.
É meu irmão.,It's my brother.
"Não, vamos.",We will not.
Vou trabalhar.,I am going to work.
André.,André.
Você não tem nada.,You have nothing.
Deixe-me te ajudar.,Let me help you.
Encontrem-no.,Find it.
Sobre tudo.,Above all.
Não para você.,Not for you.
Mas porquê?,But why?
Você não está entendendo.,You are not understanding.
Eu gosto daqui.,I like it here.
Ela não pode.,She can not.
Não está bom.,It's not good.
Escute isso.,Listen to this.
O que devo dizer?,What should I say?
Fora de questão.,Out of question.
Quem é o cara?,Who is the guy?
Diamantes.,Diamonds.
Largue-o!,Drop it!
Venha agora.,Come now.
Ele não está respirando.,He is not breathing.
Em formação!,Training!
Roland!,Roland!
Leve-me com você.,Take me with you.
Ele é seu filho.,Is he your son.
Comportem-se.,Behave.
Vou ligar.,I'll call.
E o seu pai?,And your father?
Ela é minha irmã.,She's my sister.
Shelly.,Shelly.
Exceto você.,Except you.
"Vamos, saia.","Come on, leave."
Que papo é esse?,What are you talking about?
Está com você?,It's up to you?
Aquele ali.,That one.
Srª.,Mrs.
"Não, não era.","No, it was not."
Carson.,Carson.
Você está de brincadeira?,Are you kidding?
Clyde!,Clyde!
Isso é uma merda.,This is shit.
O que está a acontecer?,What is happening?
Ha-ha!,Ha-ha!
Eu já te disse.,I told you.
Você vai me matar?,You'll kill me?
"Tudo bem, amigo.","Alright, friend."
"Certo, quer saber?","Okay, do you know?"
Feliz natal.,Merry Christmas.
Obrigado por ligar.,Thank you for calling.
Volte para o carro.,Return to the car.
Faria isso?,Would do it?
Muito triste.,Very sad.
Suzanne.,Suzanne.
Podemos continuar?,We can continue?
Estou te avisando.,I'm warning you.
Eu diria que sim.,I would say yes.
Posso confiar em você?,Can I trust you?
Eu o farei.,I will do it.
Estou presa.,I'm stuck.
Como nós.,Like us.
Escutem-me!,Listen to me!
Grite!,Scream!
Queime!,Burn!
"Sei, sim.",Yes I know.
"Tenho, sim.",Yes I have.
Alguma notícia?,Any news?
Eu estou fora.,I'm out.
Hã-hã.,Huhh.
Deixe aí.,Leave it there.
"Sim, alô?","Yes, hello?"
Abram espaço.,Open space.
Você perdeu a cabeça?,Did you lose your head?
"Tudo bem, ótimo.","Alright, great."
Ele me odeia.,He hates me.
Preciso de ajuda aqui!,I need help here!
E por que?,It's because?
É certo.,Is right.
Melhor eu ir.,I better go.
Estou com ele.,I am with him.
Vamos recomeçar.,Let's restart.
Não tenho fome.,I'm not hungry.
Vou buscar ajuda.,I will seek help.
Me matar?,Kill me?
Está bom assim?,Is that good?
on.fb.me/Wi5TEi,on.fb.me/w5hei
Proteja-se!,Take cover!
É um segredo.,Its a secret.
ótimo.,excellent.
Dá-me isso.,Give me that.
Soltem!,Up!
Abram os portões!,Open the gates!
Vou lhe dizer uma coisa.,I will tell you something.
Serve.,It suits.
"Com licença, senhorita.",Excuse me Miss.
Eu estava dormindo.,I was asleep.
Cuide disso.,Take care of it.
Você não está sozinho.,You are not alone.
